,HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,HOME_TEAM_ID,SEASON,GAME_DATE,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_TEAM_ID
0,0.5726495726495726,0.275,2.0,0.21951219512195122,0.24691358024691357,-7.333333333333333,0.5676989676989675,0,1610612745,2021-22,2022-04-10,0.5514018691588785,0.6585365853658537,2.0,0.375,0.5185185185185185,0.3333333333333333,0.5825676119838828,1610612737
1,0.6416666666666667,0.7,3.0,0.6,0.65,17.333333333333332,0.624980176429775,1,1610612748,2021-22,2022-04-08,0.5897435897435898,0.6585365853658537,2.0,0.38461538461538464,0.525,4.0,0.5769848107131016,1610612737
2,0.6065573770491803,0.65,1.0,0.38461538461538464,0.5189873417721519,7.0,0.589099266305818,1,1610612737,2021-22,2022-04-06,0.6714285714285714,0.525,1.0,0.358974358974359,0.4430379746835443,2.6666666666666665,0.6263383967685042,1610612764
3,0.4954128440366973,0.5526315789473685,2.0,0.6,0.5769230769230769,10.333333333333334,0.538786139509392,1,1610612761,2021-22,2022-04-05,0.5346534653465347,0.65,3.0,0.39473684210526316,0.5256410256410257,16.333333333333332,0.5906171776597949,1610612737
4,0.6260869565217392,0.6410256410256411,2.0,0.39473684210526316,0.5194805194805194,17.0,0.6318438003220612,1,1610612737,2021-22,2022-04-02,0.5467625899280576,0.4473684210526316,2.0,0.5897435897435898,0.5194805194805194,-1.0,0.5766889539806691,1610612751
5,0.6111111111111112,0.631578947368421,1.0,0.39473684210526316,0.5131578947368421,12.666666666666666,0.6329182630906769,1,1610612737,2021-22,2022-03-31,0.584070796460177,0.6153846153846154,1.0,0.4864864864864865,0.5526315789473685,-2.0,0.5479140991404038,1610612739
6,0.6060606060606061,0.2702702702702703,2.0,0.3157894736842105,0.29333333333333333,4.333333333333333,0.5671541584064949,0,1610612760,2021-22,2022-03-30,0.6583333333333333,0.631578947368421,2.0,0.3783783783783784,0.5066666666666667,-0.3333333333333333,0.5930563672965777,1610612737
7,0.5233644859813084,0.43243243243243246,2.0,0.23684210526315788,0.3333333333333333,-23.666666666666668,0.541841243415272,0,1610612754,2021-22,2022-03-28,0.6293103448275862,0.631578947368421,3.0,0.3611111111111111,0.5,-1.3333333333333333,0.5718101210503315,1610612737
8,0.4915254237288136,0.6216216216216216,2.0,0.3611111111111111,0.4931506849315068,-6.666666666666667,0.540006107802718,1,1610612737,2021-22,2022-03-25,0.5943396226415094,0.7631578947368421,2.0,0.5428571428571428,0.6575342465753424,2.6666666666666665,0.5630048849388473,1610612744
9,0.5043478260869565,0.3142857142857143,2.0,0.21621621621621623,0.2638888888888889,2.0,0.5678488701498124,1,1610612765,2021-22,2022-03-23,0.5945945945945946,0.6216216216216216,1.0,0.37142857142857144,0.5,5.333333333333333,0.5756178518056818,1610612737
10,0.49038461538461536,0.42857142857142855,2.0,0.4166666666666667,0.4225352112676056,6.0,0.5330317854393857,0,1610612752,2021-22,2022-03-22,0.5338983050847458,0.6216216216216216,2.0,0.35294117647058826,0.49295774647887325,0.0,0.5632120033342595,1610612737
11,0.5983606557377049,0.6388888888888888,2.0,0.35294117647058826,0.5,4.666666666666667,0.5680416005640754,0,1610612737,2021-22,2022-03-20,0.6153846153846154,0.4444444444444444,2.0,0.38235294117647056,0.4142857142857143,14.0,0.6234755440637794,1610612740
12,0.5573770491803278,0.6285714285714286,2.0,0.35294117647058826,0.4927536231884058,0.6666666666666666,0.582038341049168,1,1610612737,2021-22,2022-03-18,0.6814814814814815,0.7058823529411765,3.0,0.6666666666666666,0.6857142857142857,14.666666666666666,0.6300757480644487,1610612763
13,0.6721311475409836,0.48484848484848486,2.0,0.5,0.4927536231884058,8.666666666666666,0.6250618153945059,1,1610612766,2021-22,2022-03-16,0.5483870967741935,0.6285714285714286,2.0,0.36363636363636365,0.5,6.0,0.6056855193459908,1610612737
14,0.6403508771929824,0.6176470588235294,1.0,0.36363636363636365,0.4925373134328358,0.0,0.6246442063861719,1,1610612737,2021-22,2022-03-14,0.6106194690265486,0.4857142857142857,2.0,0.2903225806451613,0.3939393939393939,-24.0,0.4593031728088966,1610612757
15,0.6283185840707964,0.6060606060606061,2.0,0.36363636363636365,0.48484848484848486,-2.0,0.602450744589604,1,1610612737,2021-22,2022-03-13,0.5714285714285714,0.4411764705882353,1.0,0.23529411764705882,0.3382352941176471,-0.6666666666666666,0.607899057989802,1610612754
16,0.6052631578947368,0.59375,2.0,0.36363636363636365,0.47692307692307695,-3.0,0.5796778832326718,1,1610612737,2021-22,2022-03-11,0.5714285714285714,0.5882352941176471,2.0,0.4411764705882353,0.5147058823529411,-10.666666666666666,0.5072530544228657,1610612746
17,0.6666666666666666,0.6571428571428571,1.0,0.5806451612903226,0.6212121212121212,14.333333333333334,0.6316187080892964,1,1610612749,2021-22,2022-03-09,0.5737704918032787,0.59375,2.0,0.375,0.484375,2.0,0.593972879983809,1610612737
